id,en,jp,trans
0-chapter_name,,守るべきもの,要守护之物
0-synopsis,,魔物を掃討したグレアはアンの場所に戻る。グレアが、アンの怪我はかすり傷だとわかり安心すると、そこに姬塔一行が駆けてくる。一行は、竜の力をコントロールできたグレアを称賛する。グレアは完璧に制御できたわけではなく偶然だとしつつも、穏やかな表情で一行とアンに感謝を述べる。一行は、迷いが晴れたグレアの様子から、あたたかな信頼を感じるのだった。,把魔物一扫而空的古蕾雅回到安所在的地方。发现安的伤是擦伤的古蕾雅安心下来以后，姬塔一行人也赶到了。大家称赞古蕾雅终于能控制龙之力了。古蕾雅一边说还不能完全控制，应该只是偶然的，一边向一行人与安表达感激之情。一行人从困惑一扫而空的古蕾雅脸上，感觉到了温暖的信赖之情。
1,,<span class='scene-font-katari'>力のコントロールに成功したグレアは、</span><br><span class='scene-font-katari'>魔物の掃討に成功する。</span>,<span class='scene-font-katari'>成功控制自己力量的古蕾雅，</span><br><span class='scene-font-katari'>成功地把魔物讨伐完毕</span>
2,,<span class='scene-font-katari'>町から魔物が消え去ったことを</span><br><span class='scene-font-katari'>確認するとすぐさまグレアは、</span><br><span class='scene-font-katari'>アンの場所へと戻った。</span>,<span class='scene-font-katari'>确认镇上的魔物已经全部消失后，</span><br><span class='scene-font-katari'>古蕾雅回到了安所在的地方。</span>
4,,アン……！<br>怪我、本当にひどくない？<br>大丈夫なの……？,安……！<br>伤口真的还好吗？<br>没事吗……？
5,,ふふふ、心配してくれてありがとう。<br>大丈夫だよ。<br>本当にかすり傷だったんだから。,呼呼呼、这么关心我真是多谢啦。<br没事哦。<br>因为真的只是擦伤嘛。
6,,そっか、良かった……,是吗，那就好……
7,,<span class='scene-font-katari'>安心した様子でグレアが息を吐くと、</span><br><span class='scene-font-katari'>町の防衛に当たっていた</span><br><span class='scene-font-katari'>姬塔一行が駆けてきた。</span>,<span class='scene-font-katari'>安心下来的古蕾雅松了口气，</span><br><span class='scene-font-katari'>成功保护了城镇的</span><br><span class='scene-font-katari'>姬塔一行人也赶到了。</span>
8,,おいおい、見たぜ、ピアノの姉ちゃん！<br>すっげぇな、<br>あっという間に片付いちまったぞ！,噢噢，我们看到了哦，弹钢琴的姐姐！<br>太厉害啦，<br>一眨眼就把它们全收拾掉了！
9,,力のコントロールができたのね！<br>良かった……,你能够控制自己的力量了呢！<br>太好了……
10,,そうそう！　すごかったよ、グレア！<br>これで目的も達成だね♪,嗯就是！好厉害哦，古蕾雅！<br>这样目的就也达成了♪
11,,ううん……でもまだ、<br>完璧じゃないよ。<br>さっきのは偶然だと思う……,唔嗯……但是这还不完全。<br>我觉得刚才的只是偶然而已……
12,,たぶん今、力を解放したら<br>きっと暴走しちゃうと思うんだ……,大概现在再解放力量的话，<br>肯定还是会暴走的……
13,,<span class='scene-font-katari'>そう告げるグレアだが、</span><br><span class='scene-font-katari'>彼女の表情はとても穏やかに、</span><br><span class='scene-font-katari'>姬塔には見えた。</span>,<span class='scene-font-katari'>虽说古蕾雅那样说着、</span><br><span class='scene-font-katari'>但姬塔看得出，</span><br><span class='scene-font-katari'>她的脸上是相当平静的表情</span>
14,,ふふふ……でも、大丈夫。<br>アンが、言ってくれたから。<br>頑張ったことは無駄にならないって。,呼呼呼……但是，没问题的<br>毕竟安都说了，<br>所做过的努力是不会白费的。
15,,ゆっくり、頑張るよ。<br>みんなと一緒に。,我会，慢慢地努力的。<br>跟大家一起。
16,,ふふふ、そっか。<br>よかった……私で良ければ<br>いつでも助けになるよ。,呼呼呼，这样啊。<br>太好了……我能帮上忙的话<br>无论什么时候都会帮你的哦。
17,,私達も力貸しますよ！,我们也会帮你一把的！
18,,ありがとう、みんな……,谢谢大家……
19,,みんなのおかげで……<br>いろんなことに気づけたよ。<br>本当に、ありがとう。,都多亏了大家，<br>各种事都让你们十分费心了。<br>真的是，非常感谢你们。
20,,良ければまた、<br>遊んでくれるとうれしいな。,如果可以的话，<br>能再来玩的话我们会很高兴的哦。
21,,もちろんですっ！<br>また遊びましょう、グレアさん！,那是当然的！<br>再来一起玩吧，古蕾雅！
22,,ふふふ……<br>これからもよろしくね。,呼呼呼……<br>这今后也请多多关照了呢。
23,,<span class='scene-font-katari'>晴れ晴れとした様子で</span><br><span class='scene-font-katari'>グレアは優しげに微笑んだ。</span>,<span class='scene-font-katari'>古蕾雅温柔地</span><br><span class='scene-font-katari'>用明快的表情微笑着。</span>
24,,<span class='scene-font-katari'>迷いが晴れた様子の彼女から、</span><br><span class='scene-font-katari'>姬塔一行はあたたかな信頼を</span><br><span class='scene-font-katari'>感じるのだった。</span>,<span class='scene-font-katari'>从困惑一扫而空的古蕾雅脸上</span><br><span class='scene-font-katari'>感觉到了</span><br><span class='scene-font-katari'>温暖的信赖之情。</span>
info,,1,scene_chr399_q3_s20
